Current,Voltage,Power,Time
2.4800366300366306,0.32908908142262217,0.8161529764732102,0
1.8192307692307685,0.3525954443813809,0.6414524815092042,1
1.8031135531135534,0.3525954443813809,0.6357696245301641,2
1.7950549450549458,0.39960817029889834,0.7173186221793963,3
1.811172161172161,0.423114533257657,0.7663332636236209,4
1.7990842490842485,0.44662089621641576,0.8035086196948444,5
1.8031135531135534,0.5171399850926919,0.9324621159775737,6
1.8595238095238087,0.49363362213393325,0.9179234735395279,7
1.7910256410256409,0.5171399850926919,0.9262109733006288,8
1.8272893772893761,0.5641527110102094,1.0308702559979588,9
1.8635531135531136,0.5641527110102094,1.0513285411225055,10
1.835347985347986,0.5876590739689682,1.0785588974804088,11
1.8192307692307685,0.6111654369277268,1.1118509679492872,12
1.7990842490842485,0.6346717998864856,1.1418280385137263,13
1.835347985347986,0.6816845258040031,1.2511283210772741,14
1.7910256410256409,0.7051908887627618,1.263014963591767,15
1.8031135531135534,0.7286972517215204,1.313923890695672,16
1.786996336996336,0.7522036146802792,1.3441851041090622,17
1.786996336996336,0.7992163405977967,1.4281966731158786,18
1.8232600732600734,0.8227227035565554,1.500037456759251,19
1.8232600732600734,0.846229066515314,1.542895669809515,20
1.8152014652014659,0.7992163405977967,1.4507386724660742,21
1.807142857142856,0.8932417924328315,1.6142155248964731,22
1.8031135531135534,0.8697354294740729,1.568231740507738,23
1.8313186813186833,0.9637608813091078,1.7649533062655272,24
1.8192307692307685,0.9872672442678665,1.7960669482257718,25
1.8192307692307685,0.9637608813091078,1.7533034494584916,26
1.7910256410256409,1.0107736072266253,1.810321447814866,27
1.8031135531135534,1.10479905906166,1.9920781568611805,28
1.8272893772893761,1.10479905906166,2.0187875846626695,29
1.8031135531135534,1.10479905906166,1.9920781568611805,30
1.8031135531135534,1.0812926961029015,1.9496935152258363,31
1.7990842490842485,1.1518117849791774,2.072206440265651,32
1.811172161172161,1.2223308738554537,2.213851650468238,33
1.8272893772893761,1.2223308738554537,2.2335522213289107,34
1.8152014652014659,1.2458372368142123,2.2614455776677036,35
1.7990842490842485,1.29284996273173,2.325946004379813,36
1.8192307692307685,1.29284996273173,2.3519924322004155,37
1.8272893772893761,1.3398626886492473,2.4483168579951524,38
1.8152014652014659,1.3398626886492473,2.432120715604889,39
1.7789377289377284,1.3868754145667648,2.467165000308971,40
1.7910256410256409,1.3398626886492473,2.3997284308243567,41
1.8272893772893761,1.4338881404842825,2.620128567328146,42
1.7910256410256409,1.4809008664017997,2.6523314235427105,43
1.7547619047619056,1.5044072293605584,2.6398764953303147,44
1.7426739926739931,1.5044072293605584,2.621691352997384,45
1.8152014652014659,1.5514199552780759,2.816139775963556,46
1.855494505494506,1.6219390441543522,3.0094989846754117,47
1.8272893772893761,1.6219390441543522,2.9637519859941324,48
1.7910256410256409,1.5749263182368345,2.820733418688279,49
1.7910256410256409,1.6689517700718695,2.989135413833848,50
1.7829670329670333,1.692458133030628,3.0175970558705436,51
1.8152014652014659,1.7394708589481458,3.1574900518379265,52
1.8434065934065935,1.7394708589481458,3.2065520504236424,53
1.8514652014652033,1.786483584865663,3.3076121903675837,54
1.8192307692307685,1.8334963107831805,3.3355529038478617,55
1.807142857142856,1.8334963107831805,3.313389761629603,56
1.8192307692307685,1.8570026737419394,3.3783164026151424,57
1.8192307692307685,1.8570026737419394,3.3783164026151424,58
1.807142857142856,1.8570026737419394,3.355869117547931,59
1.7910256410256409,1.9275217626182155,3.4522409004841625,60
1.855494505494506,2.045053577412009,3.7945856763298664,61
1.8272893772893761,2.0215472144532507,3.6939517506593536,62
1.7547619047619056,1.9510281255769741,3.4235898298815015,63
1.7789377289377284,2.0685599403707675,3.679839322494736,64
1.7950549450549458,2.0685599403707675,3.71317875010511,65
1.7990842490842485,2.1155726662882857,3.806093461712422,66
1.7708791208791208,2.139079029247044,3.7880503908039684,67
1.8031135531135534,2.1860917551645613,3.9417716720870164,68
1.7990842490842485,2.20959811812332,3.975253171121862,69
1.8031135531135534,2.2331044810820795,4.0265409553577065,70
1.8031135531135534,2.2801172069995963,4.111310238628394,71
1.7910256410256409,2.3036235699583547,4.125848881066437,72
1.8152014652014659,2.2801172069995963,4.138872094976741,73
1.811172161172161,2.3741426588346313,4.2999810903325395,74
1.7789377289377284,2.3741426588346313,4.223451949681459,75
1.7708791208791208,2.3741426588346313,4.204319664518691,76
1.8192307692307685,2.4211553847521485,4.404640373029869,77
1.7950549450549458,2.4211553847521485,4.346106946145754,78
1.8232600732600734,2.4681681106696667,4.500112370277754,79
1.8434065934065935,2.5386871995459424,4.679832722239911,80
1.8031135531135534,2.562193562504701,4.619925938252525,81
1.8031135531135534,2.58569992546346,4.66231057988787,82
1.811172161172161,2.562193562504701,4.640573651943038,83
1.8192307692307685,2.6327126513809773,4.789511861935392,84
1.786996336996336,2.703231740257254,4.830665217891943,85
1.8031135531135534,2.7267381032160123,4.916618429699935,86
1.7950549450549458,2.703231740257254,4.852449502978271,87
1.8393772893772886,2.7972571920922884,5.145211351681839,88
1.8272893772893761,2.7972571920922884,5.111398352656546,89
1.835347985347986,2.8442699180098057,5.220225063805178,90
1.8031135531135534,2.8207635550510473,5.0861569962413125,91
1.7829670329670333,2.914789006886082,5.196972707332603,92
1.8031135531135534,2.867776280968565,5.170926279512001,93
1.8031135531135534,2.914789006886082,5.255695562782688,94
1.8313186813186833,2.9618017328035995,5.424002843645279,95
1.7910256410256409,3.0088144587211167,5.3888638446582044,96
1.807142857142856,3.0088144587211167,5.437357557546015,97
1.7829670329670333,3.079333547597393,5.490350198875572,98
1.7990842490842485,3.1733589994324283,5.709140192568633,99
1.807142857142856,3.126346273514911,5.649754337137657,100
1.7507326007326007,3.1028399105561517,5.432242986264882,101
1.7789377289377284,3.2203717253499455,5.728840763429306,102
1.8031135531135534,3.267384451267463,5.8914651873128525,103
1.811172161172161,3.1733589994324283,5.747499477177158,104
1.8232600732600734,3.2908908142262217,6.000149827037004,105
1.811172161172161,3.267384451267463,5.917795757982406,106
1.7910256410256409,3.337903540143739,5.978270827667696,107
1.7990842490842485,3.361409903102498,6.047459611387515,108
1.8514652014652033,3.384916266061256,6.267054676485947,109
1.8232600732600734,3.384916266061256,6.17158267923806,110
1.8031135531135534,3.4554353549375327,6.230542320395607,111
1.8434065934065935,3.5024480808550504,6.4564358853124695,112
1.835347985347986,3.525954443813809,6.471353384882453,113
1.8031135531135534,3.5024480808550504,6.315311603666296,114
1.7990842490842485,3.572967169731326,6.4280689575587555,115
1.807142857142856,3.643486258607603,6.584300167340879,116
1.786996336996336,3.619979895648844,6.468890813524863,117
1.8192307692307685,3.666992621566361,6.6711058076957235,118
1.786996336996336,3.666992621566361,6.552902382531679,119
1.807142857142856,3.7375117104426367,6.754217591014189,120
1.7990842490842485,3.761018073401397,6.766388376377639,121
1.7628205128205132,3.761018073401397,6.629999808880669,122
1.7749084249084257,3.855043525236431,6.842349231330819,123
1.835347985347986,3.831537162277672,7.032204011572265,124
1.8313186813186833,3.855043525236431,7.059813225062109,125
1.7749084249084257,3.9725753400302244,7.050957439603099,126
1.8272893772893761,3.949068977071466,7.216091791985713,127
1.811172161172161,3.949068977071466,7.152443793820462,128
1.7749084249084257,3.9725753400302244,7.050957439603099,129
1.8031135531135534,4.019588065947742,7.247773719643869,130
1.811172161172161,4.06660079186526,7.365314144827024,131
1.8031135531135534,4.019588065947742,7.247773719643869,132
1.7990842490842485,4.160626243700295,7.485317141367763,133
1.7990842490842485,4.160626243700295,7.485317141367763,134
1.807142857142856,4.184132606659054,7.561325353462428,135
1.811172161172161,4.207638969617811,7.620758566034896,136
1.766849816849816,4.278158058494088,7.5588627821048435,137
1.7910256410256409,4.184132606659054,7.493888783977817,138
1.7346153846153844,4.3016644214528466,7.461733284904745,139
1.8152014652014659,4.278158058494088,7.765718776141927,140
1.835347985347986,4.395689873287882,8.067620553153457,141
1.8152014652014659,4.348677147370365,7.893725129594817,142
1.8272893772893761,4.41919623624664,8.075150338650678,143
1.8272893772893761,4.372183510329123,7.989244483984181,144
1.8031135531135534,4.466208962164159,8.053081910715413,145
1.786996336996336,4.4897153251229165,8.023104840150966,146
1.7950549450549458,4.466208962164159,8.01709048318149,147
1.7829670329670333,4.4897153251229165,8.005014412101026,148
1.8272893772893761,4.583740776957952,8.375820829983416,149
1.7990842490842485,4.607247139916709,8.288825761062604,150
1.8031135531135534,4.607247139916709,8.307389760527474,151
1.8031135531135534,4.630753502875469,8.34977440216282,152
1.7587912087912083,4.701272591751746,8.26855690450403,153
1.7789377289377284,4.771791680628022,8.48872025530036,154
1.807142857142856,4.701272591751746,8.495871183665649,155
1.786996336996336,4.771791680628022,8.527174254191864,156
1.807142857142856,4.79529804358678,8.665788607338962,157
