Current,Voltage,Time
0.9783882783882785,0.010476190476190476,0
1.9799999999999998,0.010476190476190476,1
1.9799999999999998,0.012893772893772894,2
1.9783882783882785,0.012893772893772894,3
1.9783882783882785,0.012893772893772894,4
1.979194139194139,0.014505494505494505,5
1.9808058608058607,0.01611721611721612,6
1.9864468864468865,0.016923076923076923,7
1.988058608058608,0.018534798534798533,8
1.979194139194139,0.016923076923076923,9
1.9808058608058607,0.019340659340659337,10
1.979194139194139,0.02095238095238095,11
1.979194139194139,0.02095238095238095,12
1.9808058608058607,0.021758241758241755,13
1.9808058608058607,0.021758241758241755,14
1.9799999999999998,0.023369963369963366,15
1.9767765567765567,0.023369963369963366,16
1.983223443223443,0.024175824175824177,17
1.9799999999999998,0.02498168498168498,18
1.979194139194139,0.027399267399267395,19
1.984029304029304,0.027399267399267395,20
1.9816117216117215,0.029816849816849816,21
1.9856410256410255,0.028205128205128206,22
1.9848351648351648,0.029816849816849816,23
1.9896703296703295,0.03062271062271062,24
1.9856410256410255,0.03304029304029304,25
1.979194139194139,0.03223443223443224,26
1.9824175824175825,0.03304029304029304,27
1.9856410256410255,0.033846153846153845,28
1.987252747252747,0.03465201465201465,29
1.9848351648351648,0.03626373626373627,30
1.9824175824175825,0.03706959706959707,31
1.9816117216117215,0.03948717948717948,32
1.9896703296703295,0.040293040293040296,33
1.9848351648351648,0.038681318681318674,34
1.9888644688644688,0.0427106227106227,35
1.984029304029304,0.0427106227106227,36
1.9896703296703295,0.044322344322344324,37
1.9928937728937728,0.04351648351648351,38
1.9848351648351648,0.045128205128205125,39
1.987252747252747,0.04673992673992673,40
1.984029304029304,0.045128205128205125,41
1.984029304029304,0.04673992673992673,42
1.9856410256410255,0.04593406593406593,43
1.988058608058608,0.049157509157509154,44
1.9856410256410255,0.04996336996336996,45
1.9928937728937728,0.051575091575091575,46
1.987252747252747,0.05076923076923076,47
1.9936996336996335,0.05318681318681318,48
1.9888644688644688,0.05238095238095238,49
1.9856410256410255,0.05479853479853479,50
1.9848351648351648,0.05399267399267399,51
1.9888644688644688,0.05721611721611721,52
1.9985347985347985,0.05721611721611721,53
1.991282051282051,0.058827838827838826,54
1.9896703296703295,0.05802197802197802,55
1.9856410256410255,0.058827838827838826,56
1.9848351648351648,0.06124542124542124,57
1.9904761904761905,0.06124542124542124,58
1.9928937728937728,0.06285714285714285,59
1.9888644688644688,0.06366300366300366,60
1.9856410256410255,0.06446886446886448,61
1.9945054945054945,0.06527472527472528,62
1.992087912087912,0.06527472527472528,63
1.9896703296703295,0.06769230769230769,64
1.992087912087912,0.06769230769230769,65
1.9928937728937728,0.0701098901098901,66
1.996117216117216,0.0693040293040293,67
1.9904761904761905,0.0709157509157509,68
1.9888644688644688,0.07333333333333333,69
1.9904761904761905,0.07172161172161172,70
1.9896703296703295,0.07172161172161172,71
1.9896703296703295,0.07413919413919413,72
1.9928937728937728,0.07736263736263735,73
1.9945054945054945,0.07736263736263735,74
1.9928937728937728,0.07655677655677656,75
1.9936996336996335,0.07816849816849816,76
1.9864468864468865,0.07897435897435896,77
1.9904761904761905,0.08300366300366299,78
1.9864468864468865,0.08058608058608059,79
1.9864468864468865,0.08219780219780219,80
1.9904761904761905,0.08300366300366299,81
1.991282051282051,0.08461538461538462,82
1.9848351648351648,0.08461538461538462,83
1.991282051282051,0.08783882783882783,84
1.9977289377289378,0.08783882783882783,85
1.9928937728937728,0.08864468864468865,86
1.9896703296703295,0.08945054945054944,87
1.9945054945054945,0.09106227106227106,88
1.991282051282051,0.09106227106227106,89
1.9969230769230768,0.09106227106227106,90
1.996117216117216,0.09267399267399268,91
1.988058608058608,0.09428571428571428,92
1.9945054945054945,0.09509157509157509,93
